"","gene","length"
"1","OR4F5",986
"2","OR4F29",939
"3","OR4F16",939
"4","SAMD11",2651
"5","NOC2L",2340
"6","KLHL17",1984
"7","PLEKHN1",2062
"8","PERM1",2416
"9","HES4",754
"10","ISG15",503
"11","AGRN",6397
"12","RNF223",750
"13","C1orf159",1183
"14","TTLL10",2112
"15","TNFRSF18",999
"16","TNFRSF4",1296
"17","SDF4",1209
"18","B3GALT6",990
"19","C1QTNF12",944
"20","UBE2J2",858
"21","SCNN1D",2494
"22","ACAP3",2620
"23","PUSL1",947
"24","INTS11",2486
"25","CPTP",650
"26","TAS1R3",2584
"27","DVL1",2158
"28","MXRA8",1451
"29","AURKAIP1",610
"30","CCNL2",1637
"31","MRPL20",654
"32","ANKRD65",1210
"33","TMEM88B",497
"34","VWA1",1348
"35","ATAD3C",1291
"36","ATAD3B",2022
"37","ATAD3A",1980
"38","TMEM240",539
"39","SSU72",840
"40","FNDC10",681
"41","MIB2",2953
"42","MMP23B",1270
"43","CDK11B",2924
"44","SLC35E2B",1264
"45","CDK11A",2511
"46","NADK",1836
"47","GNB1",1063
"48","CALML6",571
"49","TMEM52",773
"50","CFAP74",5105
"51","GABRD",1698
"52","PRKCZ",1864
"53","FAAP20",796
"54","SKI",2217
"55","MORN1",1578
"56","RER1",726
"57","PEX10",1066
"58","PLCH2",4918
"59","PANK4",2412
"60","HES5",511
"61","TNFRSF14",920
"62","PRXL2B",771
"63","MMEL1",2450
"64","TTC34",3275
"65","ACTRT2",1134
"66","PRDM16",3914
"67","ARHGEF16",2195
"68","MEGF6",4975
"69","TPRG1L",839
"70","WRAP73",1503
"71","TP73",2013
"72","CCDC27",2026
"73","SMIM1",244
"74","LRRC47",1782
"75","CEP104",3299
"76","DFFB",1192
"77","C1orf174",852
"78","AJAP1",1256
"79","NPHP4",4551
"80","KCNAB2",2437
"81","CHD5",6065
"82","RPL22",402
"83","RNF207",1985
"84","ICMT",875
"85","HES3",642
"86","GPR153",1850
"87","ACOT7",1438
"88","HES2",634
"89","ESPN",4391
"90","TNFRSF25",1326
"91","PLEKHG5",3614
"92","NOL9",2164
"93","TAS1R1",2551
"94","ZBTB48",2112
"95","KLHL21",1926
